2025-03-19 00:17:52 [INFO]: Loaded 1375 trains from trains.json
2025-03-19 00:17:52 [INFO]: Starting initial fetch and caching of all trains from CP API with 1-second delay between requests
2025-03-19 00:18:16 [INFO]: Loaded 1375 trains from trains.json
2025-03-19 00:18:16 [INFO]: Starting initial fetch and caching of all trains from CP API with 1-second delay between requests
2025-03-19 00:19:24 [INFO]: Cached train 16534 - Status: COMPLETED, Delay: 6 min, Coordinates: (38.70949643539942, -9.173105901976387), TTL: 51540s
2025-03-19 00:19:25 [INFO]: Cached train 16536 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.707436, -9.173238), TTL: 53340s
2025-03-19 00:19:26 [INFO]: Cached train 16538 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.70987777265535, -9.173187864695365), TTL: 55140s
2025-03-19 00:19:28 [INFO]: Cached train 16540 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.707436, -9.173238), TTL: 56940s
2025-03-19 00:19:29 [INFO]: Cached train 16542 - Status: COMPLETED, Delay: 8 min, Coordinates: (38.7078155, -9.1731615), TTL: 58740s
2025-03-19 00:19:30 [INFO]: Cached train 16544 - Status: COMPLETED, Delay: 5 min, Coordinates: (38.7088046, -9.1729549), TTL: 60540s
2025-03-19 00:19:31 [INFO]: Cached train 16546 - Status: COMPLETED, Delay: 6 min, Coordinates: (38.70947278127627, -9.173101683162367), TTL: 62340s
2025-03-19 00:19:32 [INFO]: Cached train 16548 - Status: COMPLETED, Delay: 8 min, Coordinates: (38.71, -9.1732), TTL: 64140s
2025-03-19 00:19:33 [INFO]: Cached train 16550 - Status: COMPLETED, Delay: 14 min, Coordinates: (38.70743461, -9.17323799), TTL: 65940s
2025-03-19 00:19:34 [INFO]: Cached train 16552 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.70743461, -9.17323799), TTL: 67740s
2025-03-19 00:19:35 [INFO]: Loaded 1375 trains from trains.json
2025-03-19 00:19:35 [INFO]: Starting initial fetch and caching of all trains from CP API with 1-second delay between requests
2025-03-19 00:19:35 [INFO]: Cached train 16400 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 20160s
